ray,material,entry_mm,length_mm,path
0,Polyvinyltoluene,858.845729749,2.00101066685,World/native_target/trigger_pad3_bar_volume_17
0,Polyvinyltoluene,854.843708415,2.00101066685,World/native_target/trigger_pad3_bar_volume_18
0,LYSO,933.383377089,0.600303200055,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
0,LYSO,934.183781356,0.600303200055,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
0,Polyvinyltoluene,629.129705194,2.00101066685,World/native_trig_scint/trigger_pad2_bar_volume_19
0,Polyvinyltoluene,625.127683861,2.00101066685,World/native_trig_scint/trigger_pad2_bar_volume_20
0,Polyvinyltoluene,549.889682787,2.00101066685,World/native_trig_scint/trigger_pad1_bar_volume_20
0,Polyvinyltoluene,553.891704121,2.00101066685,World/native_trig_scint/trigger_pad1_bar_volume_21
0,Silicon,690.30060128,0.320161706696,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
0,Silicon,696.303633281,0.320161706696,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
0,Silicon,790.351134623,0.320161706696,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
0,Silicon,796.354166623,0.320161706696,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
0,Scintillator,231.405885631,20.0101066685,World/hcal_top/hcal_top_layer1_strip6
0,Scintillator,254.789278104,20.0101066685,World/hcal_top/hcal_top_layer2_strip4
0,Aluminum3003,230.905632964,0.500252666713,World/hcal_top/hcal_top_cover_1_placement
0,Aluminum3003,254.289025437,0.500252666713,World/hcal_top/hcal_top_cover_2_placement
0,Scintillator,1194.25734372,20.0101066685,World/hcal_above_ecal/hcal_above_ecal_layer1_strip3
0,Scintillator,1219.67017919,20.0101066685,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
0,Scintillator,1245.08301466,20.0101066685,World/hcal_above_ecal/hcal_above_ecal_layer3_strip3
0,Scintillator,1270.49585013,20.0101066685,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
0,Aluminum3003,1193.75709105,0.500252666713,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
0,Aluminum3003,1219.16992652,0.500252666713,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
0,Aluminum3003,1244.58276199,0.500252666713,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
0,Aluminum3003,1269.99559746,0.500252666713,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
0,Scintillator,1699.35403802,20.0101066685,World/hcal_below_ecal/hcal_below_ecal_layer1_strip5
0,Scintillator,1738.72329067,4.17715575821,World/hcal_below_ecal/hcal_below_ecal_layer2_strip5
0,Scintillator,1722.89033976,15.8329509103,World/hcal_below_ecal/hcal_below_ecal_layer2_strip6
0,Scintillator,1746.42664149,20.0101066685,World/hcal_below_ecal/hcal_below_ecal_layer3_strip5
0,Scintillator,1769.96294323,20.0101066685,World/hcal_below_ecal/hcal_below_ecal_layer4_strip5
0,Aluminum3003,1698.85378536,0.500252666713,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
0,Aluminum3003,1722.39008709,0.500252666713,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
0,Aluminum3003,1745.92638883,0.500252666713,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
0,Aluminum3003,1769.46269056,0.500252666713,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
1,Polyvinyltoluene,854.581090204,2.00039593244,World/native_target/trigger_pad3_bar_volume_18
1,Polyvinyltoluene,858.581882069,2.00039593244,World/native_target/trigger_pad3_bar_volume_19
1,LYSO,933.096630553,0.600118779733,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
1,LYSO,933.896788926,0.600118779733,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
1,Polyvinyltoluene,553.721541965,2.00039593244,World/native_trig_scint/trigger_pad1_bar_volume_15
1,Polyvinyltoluene,624.93563716,2.00039593244,World/native_trig_scint/trigger_pad2_bar_volume_16
1,Polyvinyltoluene,628.936429025,2.00039593244,World/native_trig_scint/trigger_pad2_bar_volume_17
1,Polyvinyltoluene,549.7207501,2.00039593244,World/native_trig_scint/trigger_pad1_bar_volume_16
1,Silicon,690.088532679,0.320063349191,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
1,Silicon,696.089720477,0.320063349191,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
1,Silicon,790.108329302,0.320063349191,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
1,Silicon,796.109517099,0.320063349191,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
1,Scintillator,231.334794975,20.0039593244,World/hcal_top/hcal_top_layer1_strip6
1,Scintillator,254.71100379,20.0039593244,World/hcal_top/hcal_top_layer2_strip5
1,Aluminum3003,230.834695992,0.500098983111,World/hcal_top/hcal_top_cover_1_placement
1,Aluminum3003,254.210904807,0.500098983111,World/hcal_top/hcal_top_cover_2_placement
1,Scintillator,1193.89045358,20.0039593244,World/hcal_above_ecal/hcal_above_ecal_layer1_strip2
1,Scintillator,1219.29548192,20.0039593244,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
1,Scintillator,1244.70051027,20.0039593244,World/hcal_above_ecal/hcal_above_ecal_layer3_strip2
1,Scintillator,1270.10553861,20.0039593244,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
1,Aluminum3003,1193.3903546,0.500098983111,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
1,Aluminum3003,1218.79538294,0.50009898311,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
1,Aluminum3003,1244.20041128,0.500098983111,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
1,Aluminum3003,1269.60543962,0.50009898311,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
1,Scintillator,1698.83197614,20.0039593244,World/hcal_below_ecal/hcal_below_ecal_layer1_strip4
1,Scintillator,1722.36104724,20.0039593244,World/hcal_below_ecal/hcal_below_ecal_layer2_strip6
1,Scintillator,1745.89011834,20.0039593244,World/hcal_below_ecal/hcal_below_ecal_layer3_strip4
1,Scintillator,1769.41918944,20.0039593244,World/hcal_below_ecal/hcal_below_ecal_layer4_strip6
1,Aluminum3003,1698.33187716,0.500098983111,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
1,Aluminum3003,1721.86094826,0.50009898311,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
1,Aluminum3003,1745.39001936,0.500098983111,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
1,Aluminum3003,1768.91909046,0.500098983111,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
2,Polyvinyltoluene,860.440240088,2.0047256905,World/native_target/trigger_pad3_bar_volume_13
2,Polyvinyltoluene,856.430788707,2.0047256905,World/native_target/trigger_pad3_bar_volume_14
2,LYSO,935.116272059,0.194200861913,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
2,LYSO,935.918162336,0.60141770715,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
2,Polyvinyltoluene,626.288279438,2.0047256905,World/native_trig_scint/trigger_pad2_bar_volume_20
2,Polyvinyltoluene,630.297730819,2.0047256905,World/native_trig_scint/trigger_pad2_bar_volume_21
2,Polyvinyltoluene,550.910593475,2.0047256905,World/native_trig_scint/trigger_pad1_bar_volume_22
2,Polyvinyltoluene,554.920044856,2.0047256905,World/native_trig_scint/trigger_pad1_bar_volume_23
2,Silicon,691.582195177,0.32075611048,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
2,Silicon,697.596372249,0.32075611048,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
2,Silicon,791.818479702,0.32075611048,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
2,Silicon,797.832656774,0.32075611048,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
2,Scintillator,231.835507697,1.88851402629,World/hcal_top/hcal_top_layer1_strip5
2,Scintillator,233.724021724,18.1587428787,World/hcal_top/hcal_top_layer1_strip6
2,Scintillator,255.26231316,20.047256905,World/hcal_top/hcal_top_layer2_strip4
2,Aluminum3003,231.334326275,0.501181422625,World/hcal_top/hcal_top_cover_1_placement
2,Aluminum3003,254.761131737,0.501181422625,World/hcal_top/hcal_top_cover_2_placement
2,Scintillator,1196.47457042,20.047256905,World/hcal_above_ecal/hcal_above_ecal_layer1_strip3
2,Scintillator,1221.93458669,10.8316793101,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
2,Scintillator,1232.766266,9.21557759494,World/hcal_above_ecal/hcal_above_ecal_layer2_strip5
2,Scintillator,1247.39460296,20.047256905,World/hcal_above_ecal/hcal_above_ecal_layer3_strip3
2,Scintillator,1272.85461923,20.047256905,World/hcal_above_ecal/hcal_above_ecal_layer4_strip5
2,Aluminum3003,1195.973389,0.501181422625,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
2,Aluminum3003,1221.43340527,0.501181422625,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
2,Aluminum3003,1246.89342154,0.501181422625,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
2,Aluminum3003,1272.35343781,0.501181422625,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
2,Scintillator,1702.50901393,20.047256905,World/hcal_below_ecal/hcal_below_ecal_layer1_strip5
2,Scintillator,1726.08901254,20.047256905,World/hcal_below_ecal/hcal_below_ecal_layer2_strip7
2,Scintillator,1749.66901115,20.047256905,World/hcal_below_ecal/hcal_below_ecal_layer3_strip5
2,Scintillator,1773.24900976,20.047256905,World/hcal_below_ecal/hcal_below_ecal_layer4_strip7
2,Aluminum3003,1702.00783251,0.501181422625,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
2,Aluminum3003,1725.58783112,0.501181422625,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
2,Aluminum3003,1749.16782973,0.501181422625,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
2,Aluminum3003,1772.74782834,0.501181422625,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
3,Polyvinyltoluene,858.609824074,2.00046103406,World/native_target/trigger_pad3_bar_volume_7
3,Polyvinyltoluene,854.608902006,2.00046103406,World/native_target/trigger_pad3_bar_volume_8
3,LYSO,933.126997593,0.600138310219,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
3,LYSO,933.927182007,0.600138310219,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
3,Polyvinyltoluene,624.955975295,2.00046103406,World/native_trig_scint/trigger_pad2_bar_volume_6
3,Polyvinyltoluene,628.956897363,2.00046103406,World/native_trig_scint/trigger_pad2_bar_volume_7
3,Polyvinyltoluene,549.738640415,2.00046103406,World/native_trig_scint/trigger_pad1_bar_volume_6
3,Polyvinyltoluene,553.739562483,2.00046103406,World/native_trig_scint/trigger_pad1_bar_volume_7
3,Silicon,690.110991175,0.32007376545,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
3,Silicon,696.112374277,0.32007376545,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
3,Silicon,790.134042878,0.32007376545,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
3,Silicon,796.13542598,0.32007376545,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
3,Scintillator,231.34232362,20.0046103406,World/hcal_top/hcal_top_layer1_strip6
3,Scintillator,254.719293199,20.0046103406,World/hcal_top/hcal_top_layer2_strip5
3,Aluminum3003,230.842208362,0.500115258516,World/hcal_top/hcal_top_cover_1_placement
3,Aluminum3003,254.21917794,0.500115258516,World/hcal_top/hcal_top_cover_2_placement
3,Scintillator,1193.92930799,20.0046103406,World/hcal_above_ecal/hcal_above_ecal_layer1_strip3
3,Scintillator,1219.33516312,20.0046103406,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
3,Scintillator,1244.74101826,20.0046103406,World/hcal_above_ecal/hcal_above_ecal_layer3_strip3
3,Scintillator,1270.14687339,20.0046103406,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
3,Aluminum3003,1193.42919273,0.500115258516,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
3,Aluminum3003,1218.83504787,0.500115258516,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
3,Aluminum3003,1244.240903,0.500115258516,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
3,Aluminum3003,1269.64675813,0.500115258516,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
3,Scintillator,1698.88726355,20.0046103406,World/hcal_below_ecal/hcal_below_ecal_layer1_strip5
3,Scintillator,1722.41710039,20.0046103406,World/hcal_below_ecal/hcal_below_ecal_layer2_strip6
3,Scintillator,1745.94693723,20.0046103406,World/hcal_below_ecal/hcal_below_ecal_layer3_strip5
3,Scintillator,1783.2352444,6.24614001013,World/hcal_below_ecal/hcal_below_ecal_layer4_strip5
3,Scintillator,1769.47677407,13.7584703305,World/hcal_below_ecal/hcal_below_ecal_layer4_strip6
3,Aluminum3003,1698.38714829,0.500115258516,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
3,Aluminum3003,1721.91698513,0.500115258516,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
3,Aluminum3003,1745.44682197,0.500115258516,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
3,Aluminum3003,1768.97665881,0.500115258516,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
4,Polyvinyltoluene,860.374960367,2.00457359634,World/native_target/trigger_pad3_bar_volume_9
4,Polyvinyltoluene,856.365813174,2.00457359634,World/native_target/trigger_pad3_bar_volume_10
4,LYSO,935.04532683,0.601372078902,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
4,LYSO,935.847156269,0.601372078902,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
4,Polyvinyltoluene,630.249911507,2.00457359634,World/native_trig_scint/trigger_pad2_bar_volume_17
4,Polyvinyltoluene,626.240764314,2.00457359634,World/native_trig_scint/trigger_pad2_bar_volume_18
4,Polyvinyltoluene,554.877944284,2.00457359634,World/native_trig_scint/trigger_pad1_bar_volume_19
4,Polyvinyltoluene,550.868797091,2.00457359634,World/native_trig_scint/trigger_pad1_bar_volume_20
4,Silicon,691.529726347,0.320731775415,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
4,Silicon,697.543447136,0.320731775415,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
4,Silicon,791.758406164,0.320731775415,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
4,Silicon,797.772126953,0.320731775415,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
4,Scintillator,231.817918844,20.0457359634,World/hcal_top/hcal_top_layer1_strip6
4,Scintillator,255.242946966,20.0457359634,World/hcal_top/hcal_top_layer2_strip4
4,Aluminum3003,231.316775445,0.501143399085,World/hcal_top/hcal_top_cover_1_placement
4,Aluminum3003,254.741803567,0.501143399085,World/hcal_top/hcal_top_cover_2_placement
4,Scintillator,1196.38379651,20.0457359634,World/hcal_above_ecal/hcal_above_ecal_layer1_strip3
4,Scintillator,1221.84188118,20.0457359634,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
4,Scintillator,1247.29996585,20.0457359634,World/hcal_above_ecal/hcal_above_ecal_layer3_strip3
4,Scintillator,1272.75805053,20.0457359634,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
4,Aluminum3003,1195.88265311,0.501143399085,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
4,Aluminum3003,1221.34073778,0.501143399085,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
4,Aluminum3003,1246.79882246,0.501143399085,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
4,Aluminum3003,1272.25690713,0.501143399085,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
